"","vertex","steps","goalprob"
"1",1,1,0
"2",1,2,0
"3",1,3,0
"4",1,4,0.011726996972688
"5",1,5,0.0117213296855754
"6",1,6,0.0161068263080791
"7",1,7,0.0157398615119272
"8",1,8,0.0170703200832556
"9",1,9,0.0165994405586273
"10",1,10,0.0167452480817325
"11",1,11,0.0162433532507569
"12",1,12,0.015974945441513
"13",1,13,0.015495754474376
"14",1,14,0.0151212304024582
"15",1,15,0.0146828444811219
"16",2,1,0
"17",2,2,0
"18",2,3,0.0156237500354956
"19",2,4,0.0156327734999549
"20",2,5,0.0205224664190996
"21",2,6,0.0200304891180031
"22",2,7,0.0210557545763619
"23",2,8,0.0202656172337146
"24",2,9,0.0199785162150643
"25",2,10,0.0191136234813643
"26",2,11,0.0184627149575757
"27",2,12,0.0176265227532667
"28",2,13,0.016909164367335
"29",2,14,0.0161810369481561
"30",2,15,0.0155298722199164
"31",5,1,0
"32",5,2,0.0625075520531628
"33",5,3,0.0312649086837719
"34",5,4,0.0390499055306804
"35",5,5,0.0273438528539757
"36",5,6,0.0280787753662589
"37",5,7,0.0231924966872792
"38",5,8,0.0223396520919018
"39",5,9,0.019902707133096
"40",5,10,0.0188298398843362
"41",5,11,0.0173593854499639
"42",5,12,0.0164158159340063
"43",5,13,0.0154070112839862
"44",5,14,0.0146330274030967
"45",5,15,0.0138871843699478
"46",6,1,0.250000436211899
"47",6,2,0.125003118874462
"48",6,3,0.109358890062998
"49",6,4,0.0625105525507009
"50",6,5,0.0507843107814143
"51",6,6,0.0327161588603999
"52",6,7,0.0261807737037002
"53",6,8,0.0187607248219085
"54",6,9,0.0153670612330284
"55",6,10,0.0121085128583034
"56",6,11,0.0103403080242171
"57",6,12,0.00877474108191904
"58",6,13,0.00779910321267091
"59",6,14,0.00696470701966712
"60",6,15,0.00638881470939926
"61",7,1,0.249999778566617
"62",7,2,0.187514606643249
"63",7,3,0.109371346168272
"64",7,4,0.0820322805064603
"65",7,5,0.0517649378178589
"66",7,6,0.0383296438768818
"67",7,7,0.0259417356262323
"68",7,8,0.0195762581894025
"69",7,9,0.0142759361100605
"70",7,10,0.0112468287410828
"71",7,11,0.0088751382713985
"72",7,12,0.00738958657096437
"73",7,13,0.00623021492723595
"74",7,14,0.00545483482047993
"75",7,15,0.00485331175941171
"76",16,1,0
"77",16,2,0
"78",16,3,0
"79",16,4,0
"80",16,5,0.00293092257438562
"81",16,6,0.002927719019033
"82",16,7,0.00513379361932494
"83",16,8,0.00558526652797676
"84",16,9,0.00700913568939082
"85",16,10,0.00761224555487386
"86",16,11,0.00854893989620174
"87",16,12,0.00910628339727116
"88",16,13,0.0097139671945053
"89",16,14,0.0101431384293563
"90",16,15,0.0105677056803421
"91",17,1,0
"92",17,2,0
"93",17,3,0
"94",17,4,0
"95",17,5,0
"96",17,6,0.0014654936596057
"97",17,7,0.00219699293515926
"98",17,8,0.00365821315439105
"99",17,9,0.00462843231359187
"100",17,10,0.00581462504005481
"101",17,11,0.00672161663771494
"102",17,12,0.00762128320169806
"103",17,13,0.00836911409651498
"104",17,14,0.00904798926555329
"105",17,15,0.00960490353118159
